latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.6,71.40001,504.0,0,GMT,GMT

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),european_aqi (EAQI)
2026-06-14T00:00,65.9,34.5,428.0,29.5,5.2,52.0,67
2026-06-14T01:00,65.9,37.1,419.0,23.1,5.8,70.0,67
2026-06-14T02:00,63.3,28.3,401.0,14.2,6.6,94.0,67
2026-06-14T03:00,76.4,27.1,379.0,7.1,7.0,115.0,67
2026-06-14T04:00,86.8,30.0,351.0,3.7,6.5,129.0,67
2026-06-14T05:00,84.8,31.1,318.0,2.1,5.6,139.0,66
2026-06-14T06:00,77.1,29.8,288.0,1.1,4.8,145.0,66
2026-06-14T07:00,71.0,28.4,260.0,0.6,4.2,145.0,66
2026-06-14T08:00,65.4,26.8,234.0,0.6,3.8,140.0,66
2026-06-14T09:00,63.3,26.0,216.0,0.8,3.4,136.0,66
2026-06-14T10:00,60.8,25.1,208.0,0.6,3.1,135.0,66
2026-06-14T11:00,58.7,24.4,208.0,0.5,3.0,134.0,65
2026-06-14T12:00,51.3,21.5,216.0,1.3,3.0,131.0,65
2026-06-14T13:00,51.3,21.9,235.0,3.1,3.3,124.0,65
2026-06-14T14:00,44.9,22.6,262.0,5.6,3.6,114.0,65
2026-06-14T15:00,48.3,25.4,287.0,8.4,3.9,102.0,65
2026-06-14T16:00,54.1,28.3,311.0,11.6,4.1,88.0,65
2026-06-14T17:00,59.5,31.4,333.0,15.0,4.3,73.0,65
2026-06-14T18:00,61.5,33.6,345.0,17.5,4.3,60.0,65
2026-06-14T19:00,57.6,33.3,337.0,18.1,4.1,53.0,65
2026-06-14T20:00,54.5,32.1,319.0,17.8,3.8,48.0,65
2026-06-14T21:00,52.4,31.4,308.0,17.9,3.5,43.0,65
2026-06-14T22:00,51.3,31.2,313.0,19.7,3.1,30.0,65
2026-06-14T23:00,49.8,31.1,325.0,21.8,2.7,17.0,65
2026-06-15T00:00,58.2,35.7,335.0,24.3,2.9,14.0,65
2026-06-15T01:00,58.6,37.3,345.0,19.6,4.4,41.0,64
2026-06-15T02:00,63.1,35.7,353.0,13.1,6.5,79.0,64
2026-06-15T03:00,73.8,34.9,348.0,7.7,7.7,110.0,64
2026-06-15T04:00,75.9,33.9,318.0,4.6,7.3,128.0,64
2026-06-15T05:00,77.3,33.4,275.0,2.5,6.1,140.0,64
2026-06-15T06:00,79.6,34.2,244.0,1.2,5.0,147.0,64
2026-06-15T07:00,75.7,32.7,237.0,0.6,4.5,147.0,64
2026-06-15T08:00,73.3,31.9,241.0,0.6,4.2,142.0,64
2026-06-15T09:00,68.5,30.0,244.0,0.8,4.0,137.0,64
2026-06-15T10:00,64.7,28.9,235.0,0.5,3.7,136.0,64
2026-06-15T11:00,62.6,28.2,224.0,0.3,3.5,135.0,65
2026-06-15T12:00,86.8,40.6,232.0,1.5,3.5,130.0,65
2026-06-15T13:00,78.7,38.6,275.0,3.3,3.7,122.0,65
2026-06-15T14:00,63.1,36.2,337.0,5.9,3.9,110.0,66
2026-06-15T15:00,60.1,36.8,383.0,8.9,4.2,99.0,66
2026-06-15T16:00,64.0,39.1,400.0,12.2,4.5,90.0,67
2026-06-15T17:00,65.2,40.3,401.0,15.8,4.9,81.0,67
2026-06-15T18:00,67.5,43.0,395.0,19.7,5.2,71.0,67
2026-06-15T19:00,69.6,45.9,377.0,24.5,5.4,59.0,68
2026-06-15T20:00,72.4,49.6,352.0,29.6,5.6,46.0,68
2026-06-15T21:00,74.0,52.7,336.0,33.1,5.8,36.0,69
2026-06-15T22:00,73.6,54.2,338.0,34.7,5.8,26.0,69
2026-06-15T23:00,72.9,55.4,348.0,34.8,5.7,19.0,70
2026-06-16T00:00,64.5,50.8,362.0,28.7,6.8,33.0,71
2026-06-16T01:00,65.2,52.9,381.0,24.2,8.3,53.0,71
2026-06-16T02:00,59.1,47.7,402.0,17.8,10.3,82.0,72
2026-06-16T03:00,56.2,42.4,411.0,12.1,11.4,109.0,72
2026-06-16T04:00,59.1,41.7,398.0,7.8,10.9,135.0,73
2026-06-16T05:00,65.0,41.7,372.0,4.3,9.5,159.0,73
2026-06-16T06:00,72.2,42.0,345.0,1.8,8.2,173.0,73
2026-06-16T07:00,77.8,42.5,319.0,0.8,7.4,170.0,73
2026-06-16T08:00,82.0,43.4,293.0,0.8,6.6,156.0,74
2026-06-16T09:00,83.1,43.4,274.0,1.0,6.0,144.0,74
2026-06-16T10:00,82.4,42.7,265.0,0.8,5.4,139.0,75
2026-06-16T11:00,83.1,42.8,263.0,0.8,4.9,135.0,75
2026-06-16T12:00,64.7,34.6,270.0,1.7,5.2,143.0,76
2026-06-16T13:00,64.0,35.3,294.0,4.9,5.5,130.0,75
2026-06-16T14:00,60.5,36.9,327.0,9.3,5.8,111.0,75
2026-06-16T15:00,61.7,39.1,350.0,12.2,6.1,99.0,75
2026-06-16T16:00,59.1,38.4,354.0,12.0,6.2,99.0,75
2026-06-16T17:00,54.0,36.9,348.0,10.4,6.1,105.0,75
2026-06-16T18:00,52.2,36.1,342.0,9.3,6.1,107.0,75
2026-06-16T19:00,50.9,36.0,339.0,9.6,6.1,101.0,75
2026-06-16T20:00,50.5,36.6,337.0,10.6,6.0,92.0,75
2026-06-16T21:00,50.9,36.4,337.0,11.8,6.0,82.0,74
2026-06-16T22:00,48.7,35.3,341.0,13.8,5.8,69.0,74
2026-06-16T23:00,49.2,35.6,349.0,16.0,5.6,57.0,73
2026-06-17T00:00,50.3,39.0,358.0,16.2,6.4,59.0,72
2026-06-17T01:00,50.6,39.9,375.0,13.8,7.8,79.0,72
2026-06-17T02:00,59.6,42.3,395.0,10.4,9.6,107.0,72
2026-06-17T03:00,60.5,39.3,397.0,7.3,10.6,130.0,71
2026-06-17T04:00,66.4,38.0,366.0,4.9,9.9,142.0,71
2026-06-17T05:00,75.0,39.6,318.0,2.8,8.3,149.0,71
2026-06-17T06:00,77.5,39.7,282.0,1.3,6.9,151.0,71
2026-06-17T07:00,77.3,38.9,273.0,0.7,6.0,148.0,71
2026-06-17T08:00,76.8,38.3,276.0,0.7,5.2,141.0,71
2026-06-17T09:00,78.2,38.8,279.0,0.9,4.5,134.0,71
2026-06-17T10:00,75.2,38.0,271.0,0.9,3.9,131.0,71
2026-06-17T11:00,74.7,37.6,263.0,1.1,3.4,127.0,70
2026-06-17T12:00,55.5,28.4,271.0,1.7,3.6,122.0,70
2026-06-17T13:00,55.4,28.6,312.0,7.0,3.9,108.0,70
2026-06-17T14:00,51.3,30.0,370.0,14.3,4.4,90.0,70
2026-06-17T15:00,56.8,35.0,414.0,19.4,4.8,76.0,70
2026-06-17T16:00,60.5,39.0,431.0,19.6,5.0,73.0,69
2026-06-17T17:00,52.4,36.0,434.0,17.6,5.2,76.0,69
2026-06-17T18:00,44.1,32.2,432.0,17.0,5.3,75.0,69
2026-06-17T19:00,45.6,33.1,428.0,19.8,5.3,66.0,69
2026-06-17T20:00,48.5,36.3,418.0,24.1,5.3,54.0,69
2026-06-17T21:00,50.5,39.0,402.0,27.4,5.3,43.0,69
2026-06-17T22:00,52.3,41.3,372.0,29.5,5.2,33.0,69
2026-06-17T23:00,52.7,42.8,335.0,30.6,5.2,25.0,69
2026-06-18T00:00,51.7,42.0,315.0,19.7,9.0,64.0,70
2026-06-18T01:00,51.7,43.3,328.0,16.9,9.7,78.0,70
2026-06-18T02:00,55.9,43.1,357.0,13.0,10.6,97.0,70
2026-06-18T03:00,54.0,36.8,373.0,9.4,10.8,115.0,70
2026-06-18T04:00,54.2,33.4,362.0,6.3,9.5,129.0,70
2026-06-18T05:00,56.9,32.6,340.0,3.6,7.5,141.0,70
2026-06-18T06:00,58.4,32.0,319.0,1.6,5.9,148.0,69
2026-06-18T07:00,59.4,31.0,307.0,0.8,5.2,146.0,69
2026-06-18T08:00,56.9,29.3,298.0,0.8,5.0,138.0,69
2026-06-18T09:00,56.6,28.8,287.0,1.0,4.8,131.0,69
2026-06-18T10:00,55.5,28.0,267.0,1.1,4.6,127.0,68
2026-06-18T11:00,55.1,27.5,246.0,1.4,4.4,124.0,68
2026-06-18T12:00,33.9,18.8,242.0,4.4,3.9,118.0,68
2026-06-18T13:00,28.9,18.3,271.0,6.6,4.1,108.0,67
2026-06-18T14:00,31.2,20.1,318.0,9.8,4.3,94.0,67
2026-06-18T15:00,32.5,22.6,354.0,12.9,4.5,80.0,67
2026-06-18T16:00,32.9,24.5,371.0,15.7,4.5,65.0,66
2026-06-18T17:00,34.3,26.3,378.0,18.3,4.4,50.0,66
2026-06-18T18:00,35.4,27.6,376.0,20.4,4.3,38.0,65
2026-06-18T19:00,35.6,27.9,363.0,21.5,4.1,30.0,65
2026-06-18T20:00,36.0,28.2,343.0,21.9,3.8,25.0,65
2026-06-18T21:00,37.5,28.8,323.0,22.5,3.5,20.0,65
2026-06-18T22:00,38.8,29.5,304.0,24.0,3.0,11.0,65
2026-06-18T23:00,38.8,29.9,286.0,25.7,2.5,1.0,64
2026-06-19T00:00,32.5,27.5,282.0,18.8,3.7,23.0,64
2026-06-19T01:00,32.4,28.1,305.0,17.1,4.7,34.0,63
2026-06-19T02:00,34.1,27.7,341.0,14.7,6.0,50.0,63
2026-06-19T03:00,36.1,25.9,364.0,12.0,6.9,71.0,62
2026-06-19T04:00,36.9,25.4,360.0,8.9,6.9,102.0,62
2026-06-19T05:00,38.3,26.3,343.0,5.6,6.3,137.0,62
2026-06-19T06:00,40.4,26.9,328.0,3.1,5.7,162.0,66
2026-06-19T07:00,43.5,26.6,322.0,1.9,5.0,168.0,67
2026-06-19T08:00,43.8,25.5,318.0,1.4,4.1,163.0,66
2026-06-19T09:00,44.5,24.9,315.0,1.3,3.4,157.0,65
2026-06-19T10:00,43.4,23.9,309.0,1.1,3.0,152.0,64
2026-06-19T11:00,41.9,23.2,303.0,1.2,2.7,146.0,63
2026-06-19T12:00,27.6,15.9,305.0,1.9,2.7,130.0,60
2026-06-19T13:00,30.6,19.4,320.0,3.7,2.7,119.0,60
2026-06-19T14:00,29.5,20.7,343.0,6.4,2.8,102.0,60
